250
SS-L|E:/EEG_GUI_OpenBCI/class_images/SS-L.png|0|Direction.LEFT,SS-R|E:/EEG_GUI_OpenBCI/class_images/SS-R.png|1|Direction.RIGHT
0,843,4593
0,5893,9643
0,10943,14693
1,15993,19743
1,21044,24794
1,26094,29844
1,31024,34774
0,36074,39824
0,41124,44874
1,46174,49924
1,51225,54975
1,56275,60025
1,61325,65075
1,66255,70005
0,71305,75055
0,76355,80105
1,81405,85155
1,86456,90206
1,91506,95256
0,96556,100306
1,101606,105356
1,106536,110286
1,111586,115336
0,116636,120386
0,121687,125437
0,126737,130487
1,131787,135537
1,136717,140467
0,141767,145517
0,146817,150567
0,151867,155617
1,156918,160668
1,161968,165718
1,166898,170648
1,171948,175698
0,176998,180748
1,182048,185798
0,187098,190848
1,192149,195899
1,197079,200829
0,202129,205879
0,207179,210929
1,212229,215979
0,217279,221029
1,222329,226079
0,227380,231130
1,232310,236060
0,237360,241110
1,242410,246160
0,247460,251210
